"wynagrodzenie";"plec";"ubezpieczenie";"zamieszkanie";"wyksztalcenie";"oszczednosci";"wiedza";"wiek"
3,57;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";43
2,9;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";22
2,78;"M";"Nie";"Miasto";"Zawodowe";"0 procent";"Duża";41
2,84;"K";"Nie";"Wieś";"Zawodowe";"Mniej niż 5 procent";"Mała";33
3,89;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";53
2,83;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";33
2,9;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";27
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Nie mam wiedzy";37
3,95;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";36
2,9;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";47
2,86;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Średnia";39
3,54;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Nie mam wiedzy";33
2,82;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Mała";25
2,97;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";26
2,94;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";37
3,79;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Duża";70
2,97;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Nie mam wiedzy";32
4,43;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Mała";51
2,87;"K";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Duża";38
3,13;"M";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Mała";30
2,88;"K";"Tak";"Wieś";"Wyższe";"5-10 procent";"Nie mam wiedzy";26
2,86;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Nie mam wiedzy";32
2,85;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Mała";28
3,08;"K";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Średnia";26
4,04;"M";"Tak";"Wieś";"Średnie";"10-15 procent";"Średnia";39
2,82;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";36
3,9;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";37
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";23
3,19;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";38
2,89;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";56
3,16;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";39
2,88;"K";"Tak";"Miasto";"Podstawowe";"5-10 procent";"Nie mam wiedzy";24
3,72;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";20
2,86;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Nie mam wiedzy";29
2,83;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Nie mam wiedzy";30
2,95;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Mała";22
2,85;"K";"Nie";"Wieś";"Podstawowe";"Mniej niż 5 procent";"Mała";26
2,94;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Nie mam wiedzy";30
2,87;"K";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Średnia";34
3,93;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";22
3,56;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";37
2,97;"K";"Tak";"Miasto";"Podstawowe";"Powyżej 15 procent";"Mała";43
2,86;"K";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Średnia";29
2,86;"K";"Tak";"Wieś";"Wyższe";"5-10 procent";"Średnia";31
3,62;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";28
3,52;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";36
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";49
2,93;"K";"Tak";"Wieś";"Podstawowe";"10-15 procent";"Średnia";42
2,59;"M";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";63
3,83;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";37
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";37
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";33
3,97;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";33
2,93;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";29
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";39
2,89;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Średnia";26
2,92;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Nie mam wiedzy";26
3,61;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";50
2,87;"K";"Tak";"Miasto";"Podstawowe";"5-10 procent";"Średnia";29
4,43;"M";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Średnia";29
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";25
4,5;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Mała";25
2,83;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";45
2,91;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Mała";21
2,89;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Mała";32
3,37;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Średnia";51
3,25;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";22
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";48
3,55;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";42
2,92;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Nie mam wiedzy";36
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";57
3,28;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";47
2,89;"K";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Mała";38
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";46
2,74;"M";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";35
2,82;"K";"Nie";"Miasto";"Podstawowe";"0 procent";"Duża";38
3,43;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Duża";22
2,86;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Mała";30
2,84;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Mała";40
2,81;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";28
3,15;"M";"Nie";"Wieś";"Zawodowe";"5-10 procent";"Średnia";54
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";26
2,9;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";31
2,82;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";32
2,83;"K";"Nie";"Miasto";"Podstawowe";"0 procent";"Mała";42
4,1;"M";"Tak";"Wieś";"Średnie";"10-15 procent";"Duża";50
2,85;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Średnia";32
3,26;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Mała";29
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";22
3,45;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";32
3,75;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";36
2,94;"K";"Tak";"Wieś";"Zawodowe";"10-15 procent";"Mała";33
3,09;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";48
3,56;"M";"Tak";"Wieś";"Zawodowe";"10-15 procent";"Średnia";29
4,1;"M";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Średnia";25
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";46
2,9;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Mała";19
3,78;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";26
3,93;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";34
3,36;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Duża";30
3,03;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Mała";60
3,83;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";36
3,91;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";34
2,99;"K";"Tak";"Wieś";"Wyższe";"Powyżej 15 procent";"Średnia";30
3,67;"M";"Tak";"Wieś";"Średnie";"10-15 procent";"Duża";29
2,89;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";34
2,54;"M";"Nie";"Miasto";"Zawodowe";"0 procent";"Duża";70
2,9;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";27
3,82;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";60
2,82;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Mała";26
3,35;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Duża";29
3,51;"M";"Tak";"Wieś";"Zawodowe";"5-10 procent";"Średnia";38
4,03;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";45
3,92;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Duża";42
2,92;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";38
3,06;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15 procent";"Średnia";45
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";36
2,87;"K";"Tak";"Miasto";"Podstawowe";"5-10 procent";"Średnia";35
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";40
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";30
2,86;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Nie mam wiedzy";31
2,82;"K";"Nie";"Wieś";"Zawodowe";"0 procent";"Nie mam wiedzy";53
3,6;"M";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Średnia";61
2,91;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Mała";56
3,87;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";37
4,15;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";42
3,96;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";29
3,04;"K";"Tak";"Miasto";"Podstawowe";"Powyżej 15 procent";"Mała";34
4,05;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";26
2,96;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";32
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Nie mam wiedzy";35
3,73;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";35
3,41;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Duża";46
4,02;"M";"Tak";"Wieś";"Wyższe";"10-15 procent";"Średnia";43
3,58;"M";"Tak";"Wieś";"Średnie";"10-15 procent";"Średnia";34
2,97;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";29
2,83;"K";"Nie";"Miasto";"Podstawowe";"0 procent";"Mała";33
2,9;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";37
2,85;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Mała";37
3,99;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Mała";51
3,92;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Mała";26
4,04;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Duża";41
3,15;"M";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Duża";37
2,91;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Mała";29
2,89;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";20
2,99;"M";"Nie";"Wieś";"Zawodowe";"Mniej niż 5 procent";"Mała";24
2,82;"K";"Nie";"Wieś";"Zawodowe";"0 procent";"Mała";44
2,89;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";47
3,24;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";25
2,95;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";26
4,17;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";25
2,86;"K";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Mała";29
2,87;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";24
2,94;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";38
2,91;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";26
4,52;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15 procent";"Duża";38
2,82;"K";"Nie";"Miasto";"Podstawowe";"0 procent";"Nie mam wiedzy";24
3,78;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";24
4,21;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15 procent";"Duża";28
4,09;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";31
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";30
3,41;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Średnia";42
3,25;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";44
3,41;"M";"Tak";"Wieś";"Średnie";"5-10 procent";"Duża";24
3,02;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";39
2,94;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";40
2,82;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";26
3,28;"M";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Mała";22
4,79;"M";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Duża";35
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";52
3,37;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";33
3,99;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";25
2,81;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Mała";22
3,54;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";27
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";64
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";23
3,87;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";23
3,29;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";59
2,65;"M";"Nie";"Miasto";"Zawodowe";"0 procent";"Mała";26
2,96;"K";"Tak";"Miasto";"Podstawowe";"Powyżej 15 procent";"Nie mam wiedzy";46
2,99;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Średnia";27
4,06;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";38
3,93;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Duża";41
2,93;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Średnia";26
2,93;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Nie mam wiedzy";32
4,07;"M";"Tak";"Wieś";"Średnie";"10-15 procent";"Średnia";23
2,88;"K";"Tak";"Wieś";"Średnie";"5-10 procent";"Mała";44
3,34;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";29
4,07;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";38
3,75;"M";"Tak";"Wieś";"Wyższe";"10-15 procent";"Mała";44
3,73;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";49
2,86;"K";"Tak";"Miasto";"Podstawowe";"5-10 procent";"Nie mam wiedzy";38
4,34;"M";"Tak";"Wieś";"Podstawowe";"Powyżej 15 procent";"Duża";33
2,91;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";33
2,97;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15 procent";"Mała";31
2,96;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Mała";54
3,57;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";30
2,88;"M";"Nie";"Wieś";"Zawodowe";"Mniej niż 5 procent";"Duża";19
3,2;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Mała";41
3,84;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";35
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";45
2,87;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Średnia";43
3,5;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Duża";32
3,01;"K";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Średnia";43
2,88;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Średnia";32
3,78;"M";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Średnia";33
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";40
3;"K";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Średnia";31
3,41;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Duża";44
2,98;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";43
3,78;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";38
3,47;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Duża";26
3,63;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";43
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Nie mam wiedzy";33
3,85;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";27
2,87;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Nie mam wiedzy";46
2,83;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Mała";23
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Nie mam wiedzy";21
3,25;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";30
2,9;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";27
2,87;"K";"Tak";"Wieś";"Średnie";"5-10 procent";"Średnia";28
3,4;"M";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";34
2,87;"M";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Mała";21
3,31;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";33
2,79;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";33
2,82;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";30
4,46;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Mała";59
2,97;"K";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Średnia";44
3,61;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";36
4,54;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Duża";39
4,24;"M";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";32
2,87;"K";"Tak";"Wieś";"Średnie";"5-10 procent";"Mała";34
2,89;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";26
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";28
3,03;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Duża";40
2,85;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5 procent";"Mała";40
4,23;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15 procent";"Duża";28
2,96;"K";"Tak";"Wieś";"Zawodowe";"Powyżej 15 procent";"Mała";38
3,85;"M";"Tak";"Wieś";"Zawodowe";"10-15 procent";"Średnia";22
3,65;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Duża";24
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";31
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Nie mam wiedzy";41
2,91;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Nie mam wiedzy";42
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";31
4,75;"M";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Średnia";29
2,83;"K";"Nie";"Miasto";"Zawodowe";"0 procent";"Średnia";55
3,79;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";40
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Średnia";35
3,43;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Duża";39
2,89;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";36
2,95;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Nie mam wiedzy";26
3,69;"M";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";49
2,85;"K";"Nie";"Wieś";"Zawodowe";"Mniej niż 5 procent";"Mała";28
2,88;"K";"Tak";"Wieś";"Średnie";"5-10 procent";"Średnia";40
2,86;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";32
3,99;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";22
2,72;"M";"Nie";"Wieś";"Zawodowe";"0 procent";"Średnia";64
3,75;"M";"Tak";"Wieś";"Zawodowe";"10-15 procent";"Duża";46
3,18;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Nie mam wiedzy";30
2,96;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";29
2,98;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";33
4,17;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Duża";22
3,1;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";36
2,92;"K";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Nie mam wiedzy";42
2,45;"M";"Nie";"Miasto";"Podstawowe";"0 procent";"Średnia";23
3,38;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Duża";33
3,4;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Duża";34
3,44;"M";"Tak";"Wieś";"Średnie";"5-10 procent";"Średnia";29
2,97;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Mała";36
2,89;"K";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Średnia";38
4,17;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";24
4,7;"M";"Tak";"Wieś";"Średnie";"Powyżej 15 procent";"Mała";36
2,85;"K";"Nie";"Wieś";"Podstawowe";"Mniej niż 5 procent";"Nie mam wiedzy";20
4,66;"M";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Duża";24
2,86;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Nie mam wiedzy";29
4,09;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";46
2,89;"K";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Średnia";39
