"NazwaSpolki";"WielkoscSpolki";"WskaźnikCZ"
"Spółka 84";48,394;8,949
"Spółka 85";168,939;13,468
"Spółka 86";2303,524;66,049
"Spółka 87";163,54;13,514
"Spółka 88";179,082;11,971
"Spółka 89";199,215;12,675
"Spółka 90";50,913;8,481
"Spółka 91";48,603;7,944
"Spółka 92";543,86;21,778
"Spółka 93";42,007;9,197
"Spółka 94";44,828;8,302
"Spółka 95";627,996;21,797
"Spółka 96";2055,927;68,604
"Spółka 97";167,088;14,253
"Spółka 98";2397,431;61,649
"Spółka 99";678,553;21,907
"Spółka 100";2451,859;59,807
"Spółka 101";483,6;22,812
"Spółka 102";628,665;25,473
"Spółka 103";48,315;7,776
"Spółka 104";49,101;9,217
"Spółka 105";586,27;24,424
"Spółka 106";198,97;13,075
"Spółka 107";1854,702;58,459
"Spółka 108";46,711;9,217
"Spółka 109";50,992;10,292
"Spółka 110";505,642;22,177
"Spółka 111";609,298;21,539
"Spółka 112";183,956;13,435
"Spółka 113";2225,708;58,301
"Spółka 114";564,949;22,83
"Spółka 115";2365,246;65,802
"Spółka 116";665,437;21,341
"Spółka 117";616,908;21,879
"Spółka 118";203,222;12,847
"Spółka 119";580,056;26,193
"Spółka 120";48,682;9,564
"Spółka 121";178,555;14,456
"Spółka 122";2047,566;60,312
"Spółka 123";634,121;23,092
"Spółka 124";46,148;8,503
"Spółka 125";181,621;11,46
"Spółka 126";208,012;13,071
"Spółka 127";206,735;15,145
"Spółka 128";49,432;8,451
"Spółka 129";574,737;21,867
"Spółka 130";2029,412;68,61
"Spółka 131";549,412;22
"Spółka 132";595,254;23,326
"Spółka 133";2305,061;58,575
"Spółka 134";181,538;10,763
"Spółka 135";195,763;12,729
"Spółka 136";2452,755;55,459
"Spółka 137";41,991;10,704
"Spółka 138";2427,902;47,631
"Spółka 139";188,78;11,71
"Spółka 140";196,933;12,537
"Spółka 141";2489,327;62,052
"Spółka 142";1911,246;69,675
"Spółka 143";2490,77;55,733
"Spółka 144";198,403;14,231
"Spółka 145";2268,625;54,915
"Spółka 146";580,238;25,744
"Spółka 147";43,589;9,108
"Spółka 148";630,245;23,045
"Spółka 149";50,805;9,474
"Spółka 150";51,877;7,558
"Spółka 151";592,835;23,154
"Spółka 152";43,427;7,99
"Spółka 153";668,366;21,572
"Spółka 154";541,674;25,662
"Spółka 155";46,342;8,585
"Spółka 156";652,105;21,09
"Spółka 157";594,082;24,465
"Spółka 158";47,572;8,614
"Spółka 159";2120,203;47,804
"Spółka 160";656,19;22,556
"Spółka 161";2308,123;59,365
"Spółka 162";2314,187;54,029
"Spółka 163";181,894;14,022
"Spółka 164";176,399;11,106
"Spółka 165";2234,165;57,71
"Spółka 166";2473,413;62,746
"Spółka 167";204,176;13,637
"Spółka 168";2353,283;68,669
"Spółka 169";56,49;8,178
"Spółka 170";632,888;25,664
"Spółka 171";1958,552;60,773
"Spółka 172";2493,184;57,456
"Spółka 173";216,111;13,758
"Spółka 174";198,478;12,911
"Spółka 175";40,155;10,566
"Spółka 176";54,567;10,392
"Spółka 177";45,905;9,432
"Spółka 178";2040,984;68,508
"Spółka 179";509,44;20,96
"Spółka 180";629,881;25,167
"Spółka 181";47,493;9,926
"Spółka 182";599,783;21,784
"Spółka 183";471,794;25,179
"Spółka 184";45,78;8,993
"Spółka 185";54,3;11,75
"Spółka 186";2400,29;46,349
"Spółka 187";591,015;21,774
