"NazwaSpolki";"WielkoscSpolki";"WskaznikCZ"
"Spolka 88";179.082;11.971
"Spolka 89";199.215;12.675
"Spolka 90";50.913;8.481
"Spolka 91";48.603;7.944
"Spolka 92";543.86;21.778
"Spolka 93";42.007;9.197
"Spolka 94";44.828;8.302
"Spolka 95";627.996;21.797
"Spolka 96";2055.927;68.604
"Spolka 97";167.088;14.253
"Spolka 98";2397.431;61.649
"Spolka 99";678.553;21.907
"Spolka 100";2451.859;59.807
"Spolka 101";483.6;22.812
"Spolka 102";628.665;25.473
"Spolka 103";48.315;7.776
"Spolka 104";49.101;9.217
"Spolka 105";586.27;24.424
"Spolka 106";198.97;13.075
"Spolka 107";1854.702;58.459
"Spolka 108";46.711;9.217
"Spolka 109";50.992;10.292
"Spolka 110";505.642;22.177
"Spolka 111";609.298;21.539
"Spolka 112";183.956;13.435
"Spolka 113";2225.708;58.301
"Spolka 114";564.949;22.83
"Spolka 115";2365.246;65.802
"Spolka 116";665.437;21.341
"Spolka 117";616.908;21.879
"Spolka 118";203.222;12.847
"Spolka 119";580.056;26.193
"Spolka 120";48.682;9.564
"Spolka 121";178.555;14.456
"Spolka 122";2047.566;60.312
"Spolka 123";634.121;23.092
"Spolka 124";46.148;8.503
"Spolka 125";181.621;11.46
"Spolka 126";208.012;13.071
"Spolka 127";206.735;15.145
"Spolka 128";49.432;8.451
"Spolka 129";574.737;21.867
"Spolka 130";2029.412;68.61
"Spolka 131";549.412;22
"Spolka 132";595.254;23.326
"Spolka 133";2305.061;58.575
"Spolka 134";181.538;10.763
"Spolka 135";195.763;12.729
"Spolka 136";2452.755;55.459
"Spolka 137";41.991;10.704
"Spolka 138";2427.902;47.631
"Spolka 139";188.78;11.71
"Spolka 140";196.933;12.537
"Spolka 141";2489.327;62.052
"Spolka 142";1911.246;69.675
"Spolka 143";2490.77;55.733
"Spolka 144";198.403;14.231
"Spolka 145";2268.625;54.915
"Spolka 146";580.238;25.744
"Spolka 147";43.589;9.108
"Spolka 148";630.245;23.045
"Spolka 149";50.805;9.474
"Spolka 150";51.877;7.558
"Spolka 151";592.835;23.154
"Spolka 152";43.427;7.99
"Spolka 153";668.366;21.572
"Spolka 154";541.674;25.662
"Spolka 155";46.342;8.585
"Spolka 156";652.105;21.09
"Spolka 157";594.082;24.465
"Spolka 158";47.572;8.614
"Spolka 159";2120.203;47.804
"Spolka 160";656.19;22.556
"Spolka 161";2308.123;59.365
"Spolka 162";2314.187;54.029
"Spolka 163";181.894;14.022
"Spolka 164";176.399;11.106
"Spolka 165";2234.165;57.71
"Spolka 166";2473.413;62.746
"Spolka 167";204.176;13.637
"Spolka 168";2353.283;68.669
"Spolka 169";56.49;8.178
"Spolka 170";632.888;25.664
"Spolka 171";1958.552;60.773
"Spolka 172";2493.184;57.456
"Spolka 173";216.111;13.758
"Spolka 174";198.478;12.911
"Spolka 175";40.155;10.566
"Spolka 176";54.567;10.392
"Spolka 177";45.905;9.432
"Spolka 178";2040.984;68.508
"Spolka 179";509.44;20.96
"Spolka 180";629.881;25.167
"Spolka 181";47.493;9.926
"Spolka 182";599.783;21.784
"Spolka 183";471.794;25.179
"Spolka 184";45.78;8.993
"Spolka 185";54.3;11.75
"Spolka 186";2400.29;46.349
"Spolka 187";591.015;21.774
